question_id,r@1,r@3,r@5,r@10,r@15,contexts,ground_truth
1,1,1,1,1,1,8-47-1776-2|8-47-1770-2|8-47-1776-1|8-47-1768-4|8-47-1770-3|10-57-565-6|10-57-1278-4|8-47-1777-1|10-57-1287-2|10-94-2089-1|8-45-563-5|8-45-563-1|8-47-1774-2|8-45-563-2|10-57-428-1,8-47-1776-2
2,1,1,1,1,1,8-47-817-2|10-94-2089-1|8-47-1262-3|7-43-701-2|8-47-1207-2|8-48-1581-2|8-45-563-3|8-47-1348-4|8-47-1348-2|8-45-563-2|8-47-1346-2|8-47-1348-3|8-45-563-1|8-48-687-2|8-47-1262-2,8-47-817-2
3,0,0,0,1,1,10-57-565-7|10-57-566-1|8-45-563-3|8-45-563-2|10-57-565-10|9-50-581-6|2-21-564-3|10-65-587-1|10-57-565-1|8-44-927-3|10-57-565-6|10-88-927-3|10-57-566-4|10-64-568-3|10-57-565-2,8-44-927-3
4,0,1,1,1,1,10-58-560-5|10-57-565-12|8-47-1320-2|2-21-561-2|2-21-556-6|2-21-561-1|2-21-556-1|8-46-827-1|8-45-563-1|10-58-559-5|10-58-559-1|10-57-565-1|8-45-563-5|10-58-559-6|10-57-565-4,8-47-1320-2
5,1,1,1,1,1,8-48-1350-2|8-47-1349-2|6-86-691-4|8-47-692-2|8-47-1348-4|8-47-1341-1|8-48-691-3|8-48-697-2|8-47-817-2|8-48-694-2|8-47-1348-3|8-48-687-2|8-46-827-3|8-47-1259-1|8-47-1254-1,8-48-1350-2
6,0,0,0,1,1,9-50-581-9|10-64-568-5|11-67-1645-2|6-38-588-14|8-45-563-6|2-21-556-6|10-57-565-1|9-50-579-4|9-52-585-5|8-48-686-1|9-50-580-3|10-57-565-13|12-70-1427-2|10-57-565-12|10-57-565-7,8-48-686-1
7,1,1,1,1,1,8-47-1264-3|8-47-1264-1|8-47-1264-2|8-47-1264-4|8-47-1265-3|8-47-1638-1|8-47-1263-1|8-47-1265-2|8-47-1262-1|8-47-1263-3|8-47-1262-2|8-47-1262-3|8-47-1263-2|8-47-1259-1|8-47-1266-1,8-47-1264-3
8,0,0,0,0,1,7-39-570-1|8-44-1327-2|9-50-579-4|8-48-687-1|7-39-570-3|8-47-816-2|8-45-563-3|8-45-563-4|7-39-570-2|2-21-556-2|9-50-581-6|9-50-580-3|8-47-1307-1|9-52-585-5|10-57-565-7,8-47-1307-1
9,1,1,1,1,1,8-44-929-1|10-88-929-1|10-88-929-2|8-44-929-3|5-28-859-1|8-44-927-4|10-57-565-6|10-88-932-1|8-44-927-1|10-57-859-1|10-88-927-1|10-57-859-2|10-88-927-4|10-57-565-10|5-28-859-2,8-44-929-1
10,1,1,1,1,1,8-48-691-2|6-86-691-3|6-86-691-2|8-48-691-3|6-86-691-4|6-86-691-1|8-47-1348-3|8-47-1348-4|6-86-690-2|10-58-559-1|8-48-691-1|8-48-691-4|2-21-556-3|1-20-2121-1|1-87-665-1,8-48-691-2
