question_id,r@1,r@3,r@5,r@10,r@15,contexts,ground_truth
1,0,1,1,1,1,8-47-1770-2|8-47-1776-2|8-47-1770-3|8-47-1284-3|8-47-1770-1|8-47-1769-2|8-47-1768-2|10-57-428-1|8-47-1776-1|8-47-1781-3|8-47-1768-4|10-57-1287-2|8-47-1768-1|8-47-1777-1|10-88-936-1,8-47-1776-2
2,1,1,1,1,1,8-47-817-2|8-48-1350-2|8-47-817-1|8-47-1207-2|8-47-699-2|8-47-1262-2|8-47-1262-3|12-71-1209-2|2-75-2283-2|8-47-693-2|10-94-2089-1|8-44-1269-6|2-21-2274-2|8-48-697-2|8-47-1307-3,8-47-817-2
3,0,1,1,1,1,10-55-931-3|11-68-931-4|8-44-927-3|10-88-927-3|10-65-587-1|10-55-931-2|11-68-931-5|11-68-931-3|11-68-931-6|10-55-931-5|10-57-565-7|10-58-559-3|10-57-566-1|10-65-408-6|8-47-1782-3,8-44-927-3
4,1,1,1,1,1,8-47-1320-2|8-46-827-1|10-58-560-5|8-46-826-1|2-21-557-3|2-21-598-1|2-22-712-1|8-47-1321-1|10-58-593-1|8-47-1320-1|2-21-564-6|3-25-814-1|10-57-565-1|8-47-1284-3|8-45-563-5,8-47-1320-2
5,1,1,1,1,1,8-48-1350-2|8-47-1348-4|8-48-1350-1|8-47-1341-1|8-47-1349-2|8-44-1269-6|6-86-691-4|10-61-762-3|8-47-693-2|8-47-699-2|10-94-2091-2|2-75-2283-2|8-47-817-2|8-47-693-1|8-47-1207-2,8-48-1350-2
6,0,0,1,1,1,12-70-1427-2|12-70-1144-3|4-27-434-2|8-45-563-6|8-48-686-1|11-68-1216-3|10-65-390-4|10-65-397-4|4-91-1483-1|10-55-818-3|10-57-566-2|10-65-408-7|11-66-750-2|11-66-749-2|4-27-436-2,8-48-686-1
7,1,1,1,1,1,8-47-1264-3|8-47-1264-2|8-47-1263-2|8-47-1263-3|8-47-1264-4|8-47-1262-2|8-47-1265-2|8-47-1262-3|8-47-1264-1|8-47-1638-1|8-47-1265-3|8-47-1263-1|8-47-1262-1|8-47-1252-1|8-47-1259-1,8-47-1264-3
8,1,1,1,1,1,8-47-1307-1|8-47-1320-3|8-47-1782-3|8-48-687-1|8-48-1581-2|2-21-605-2|8-48-686-1|8-44-1325-1|10-60-2087-6|8-47-817-1|11-66-735-1|11-66-750-2|7-39-570-1|8-47-1322-1|8-47-1321-1,8-47-1307-1
9,1,1,1,1,1,8-44-929-1|10-88-929-1|8-44-929-3|10-88-927-1|10-88-927-4|8-44-927-1|10-88-929-2|8-44-927-4|10-88-932-1|5-28-859-1|10-88-934-1|8-44-929-2|10-57-859-1|8-47-816-1|10-55-933-1,8-44-929-1
10,1,1,1,1,1,8-48-691-2|6-86-691-2|8-48-691-3|6-86-691-3|6-86-691-1|8-48-691-1|8-48-690-1|8-47-1344-1|6-86-690-1|8-48-691-4|6-86-691-4|8-47-1254-1|8-48-829-1|8-47-1342-1|8-48-1563-1,8-48-691-2
