question_id,r@1,r@3,r@5,r@10,r@15,contexts,ground_truth
1,0,0,1,1,1,8-47-1771-1|8-48-686-2|10-57-428-4|8-47-1776-2|10-57-1151-1|6-36-1609-2|10-57-565-14|10-94-2232-2|8-47-1346-2|11-68-1143-1|8-47-1770-1|8-47-1772-1|10-94-2093-1|8-47-1780-2|8-47-1777-1,8-47-1776-2
2,0,0,0,0,0,8-47-1262-2|8-47-1281-2|8-47-1281-1|8-47-1265-2|8-47-1262-3|8-48-1280-1|12-70-1209-1|10-62-1697-1|10-94-2091-2|8-48-686-2|8-45-563-1|8-47-1264-2|8-47-1258-1|8-47-1254-1|8-47-1780-2,8-47-817-2
3,0,0,0,1,1,10-57-565-7|10-55-931-3|11-68-931-4|10-57-566-4|10-57-412-1|10-57-431-1|10-65-1534-1|8-44-927-3|10-57-431-2|8-47-1782-3|10-57-412-3|10-57-566-1|1-16-944-1|10-57-565-11|10-57-565-5,8-44-927-3
4,1,1,1,1,1,8-47-1320-2|8-47-1893-1|2-21-557-2|8-48-828-5|2-21-557-1|8-47-1320-3|8-45-563-1|2-21-594-2|10-57-565-5|3-24-1857-1|2-21-561-2|8-47-1284-2|2-21-561-1|8-45-1112-2|2-21-556-1,8-47-1320-2
5,1,1,1,1,1,8-48-1350-2|8-47-1349-2|8-47-1178-1|10-58-560-2|8-48-1563-2|8-47-1341-1|10-58-559-2|8-47-692-2|10-58-1697-1|2-22-700-5|8-48-1529-1|10-62-1697-1|7-43-573-1|8-47-1348-4|2-22-700-4,8-48-1350-2
6,0,0,0,0,0,10-65-390-4|10-65-397-4|10-55-818-3|10-65-393-3|8-47-1782-3|10-88-932-3|10-65-425-3|11-66-736-1|11-66-716-1|10-65-404-4|11-66-717-1|10-62-743-1|1-15-608-1|10-57-431-3|9-52-584-5,8-48-686-1
7,0,0,0,0,1,8-47-1263-1|8-47-1264-2|8-47-1264-1|8-47-1638-1|8-47-1265-2|8-47-1258-1|8-47-1262-2|8-47-1262-1|8-47-1281-2|8-47-1263-2|10-58-1697-1|8-47-1265-1|8-47-1264-3|8-47-1281-1|10-62-1697-1,8-47-1264-3
8,0,0,0,0,0,7-39-570-1|12-70-1427-3|7-41-575-1|8-47-1772-1|8-47-1320-3|7-39-570-3|7-41-569-2|12-70-1209-2|7-41-590-1|8-47-1782-3|8-45-563-1|10-65-397-4|12-70-1159-1|11-66-736-1|8-47-1771-1,8-47-1307-1
9,0,0,0,0,0,10-55-933-1|8-44-927-4|10-88-932-1|10-55-933-2|10-88-933-1|10-88-927-4|5-28-933-1|10-55-1146-1|10-88-933-2|5-28-933-2|10-57-859-5|10-65-1534-1|10-88-932-4|5-28-859-2|8-44-929-3,8-44-929-1
10,0,0,0,1,1,8-47-1346-2|1-15-608-1|7-39-610-1|1-16-1109-1|1-16-823-1|8-48-691-2|8-47-1263-1|1-16-1423-3|1-16-773-1|6-86-691-2|11-66-739-1|1-16-1210-1|1-16-1103-4|1-87-665-1|8-48-1210-1,8-48-691-2
11,0,1,1,1,1,8-48-1563-2|1-16-1210-1|8-48-829-2|6-86-1210-1|8-48-1210-1|7-41-1210-1|1-20-2113-3|1-16-1607-1|1-20-2114-3|1-16-938-2|1-20-2115-3|8-48-1563-1|7-41-1212-1|12-70-768-1|1-16-1600-6,8-48-829-2
