question_id,r@1,r@3,r@5,r@10,r@15,contexts,ground_truth
1,0,1,1,1,1,10-57-565-6|8-47-1770-2|8-47-1776-2|8-45-563-5|10-57-565-4|10-57-565-1|10-57-565-10|8-45-563-1|10-57-566-5|8-45-563-3|8-47-1776-1|10-57-565-14|10-57-414-1|8-47-1768-4|10-57-565-9,8-47-1776-2
2,0,0,0,1,1,8-45-563-5|8-45-563-3|8-45-563-2|10-58-559-4|10-58-559-7|8-47-817-2|8-45-563-4|8-45-563-1|2-21-556-5|10-58-559-5|8-45-563-6|8-47-1307-3|2-21-556-1|10-57-565-6|10-58-559-3,8-47-817-2
3,0,0,0,1,1,9-50-581-6|10-65-587-1|10-57-565-7|10-57-566-1|10-64-568-3|8-45-563-3|8-44-927-3|9-50-579-1|10-57-565-1|2-21-564-3|10-88-927-3|10-58-559-3|9-50-581-7|10-57-566-4|10-57-565-2,8-44-927-3
4,0,0,0,1,1,10-58-560-5|10-57-565-12|2-21-561-1|10-58-559-5|8-45-563-5|10-57-565-1|2-21-561-2|2-21-564-6|8-45-563-1|8-47-1320-2|10-58-559-1|10-58-559-6|8-45-563-2|10-57-565-5|2-21-556-5,8-47-1320-2
5,1,1,1,1,1,8-48-1350-2|10-58-560-2|2-21-556-2|10-58-559-4|8-47-1349-2|2-21-556-1|8-47-1348-4|2-21-556-4|10-58-559-2|8-47-1341-1|10-58-559-5|2-21-557-2|10-58-559-3|8-45-563-3|8-45-563-6,8-48-1350-2
6,0,0,0,0,0,8-45-563-6|7-41-571-1|2-21-556-6|10-57-565-1|6-38-588-14|10-57-565-13|10-57-566-2|10-64-568-5|10-57-565-12|8-45-563-4|10-58-560-6|9-52-585-5|8-45-563-1|4-97-1481-1|10-57-565-10,8-48-686-1
7,1,1,1,1,1,8-47-1264-3|8-47-1264-2|8-47-1264-1|8-47-1264-4|8-47-1265-3|8-47-1638-1|8-47-1262-2|8-47-1263-3|8-47-1265-2|8-47-1262-1|8-47-1262-3|8-47-1263-1|8-47-1263-2|10-58-559-7|10-58-559-4,8-47-1264-3
8,0,0,0,0,0,7-39-570-1|7-39-570-3|9-50-579-4|9-52-585-5|8-45-563-4|9-50-580-3|9-50-581-6|7-39-570-2|6-38-588-6|2-21-556-6|7-43-574-1|2-21-556-2|7-41-569-2|7-41-571-2|7-41-575-1,8-47-1307-1
9,0,0,0,1,1,10-57-566-5|10-57-565-1|10-57-565-4|10-57-565-6|10-57-565-5|10-57-565-12|10-57-566-2|8-44-929-1|10-57-565-2|10-64-568-5|10-57-566-3|10-57-565-10|10-88-929-1|8-44-929-3|10-57-566-4,8-44-929-1
10,0,0,1,1,1,10-58-559-4|10-58-559-7|10-58-559-1|8-48-691-2|2-21-556-3|6-86-691-3|6-86-691-2|2-21-556-5|10-58-559-3|2-21-556-1|10-58-559-6|10-58-559-5|2-21-556-2|10-58-559-2|2-21-556-6,8-48-691-2
11,0,1,1,1,1,8-48-829-1|8-48-829-2|8-48-1563-2|8-48-1563-1|7-41-569-5|6-38-588-2|1-16-1105-2|8-48-691-3|8-47-1344-1|2-21-556-2|7-41-569-6|1-16-777-1|6-38-588-3|7-41-572-3|8-48-691-4,8-48-829-2
12,1,1,1,1,1,8-44-927-2|10-88-927-2|8-44-927-4|8-44-929-3|10-88-927-3|10-57-565-8|8-44-927-3|10-88-929-2|10-88-927-4|8-44-929-2|5-28-859-2|10-57-859-2|5-28-859-1|10-88-929-1|8-44-929-1,8-44-927-2
13,0,0,0,0,1,1-87-1481-1|8-45-563-4|8-45-563-6|10-57-566-2|8-47-1263-1|10-58-559-5|2-21-556-6|8-45-563-1|8-45-563-3|7-43-574-3|8-48-1562-2|10-58-559-6|10-64-568-5|4-97-1481-1|8-48-691-3,8-48-1562-2
14,0,1,1,1,1,8-47-1263-1|8-47-1263-2|8-47-1263-3|8-47-1262-1|8-47-1262-2|8-47-1262-3|8-47-1264-3|8-47-1638-1|8-47-1264-4|8-47-1264-2|8-47-1265-3|8-47-1264-1|8-45-563-5|10-58-559-6|10-58-559-7,8-47-1263-3
15,0,1,1,1,1,8-47-1768-4|8-47-1768-2|2-21-564-7|8-47-1780-2|12-72-1099-2|8-47-1768-1|8-45-563-5|8-45-563-1|10-58-559-1|2-21-564-1|2-21-564-6|8-48-697-2|2-21-564-2|6-38-589-3|8-45-563-3,8-47-1768-2
16,0,0,0,1,1,2-21-564-7|8-45-563-5|8-45-563-6|8-47-1307-3|7-41-575-1|7-41-575-4|8-45-563-2|8-45-563-4|8-47-1768-1|8-47-1346-2|7-41-575-2|8-45-563-1|8-45-563-3|10-57-565-6|10-57-566-5,8-47-1768-1
17,0,0,0,0,0,10-58-559-7|10-57-565-14|3-25-567-4|8-47-1346-2|3-25-567-3|7-41-575-2|7-43-574-3|3-25-567-2|8-45-563-4|2-21-561-2|2-21-556-6|8-45-563-3|7-43-574-2|8-45-563-6|2-21-561-5,8-47-693-2
18,0,0,0,0,0,10-57-565-14|10-58-559-7|8-45-563-3|3-25-567-3|8-45-563-2|10-58-559-4|10-58-560-2|8-45-563-4|8-45-563-1|10-57-565-10|2-21-561-2|8-47-1307-3|8-44-1327-3|2-21-561-1|8-44-1269-5,8-44-1270-3
19,0,1,1,1,1,8-47-1320-3|8-47-1321-1|8-47-1324-2|8-47-1307-1|8-44-1327-2|8-47-1307-3|8-47-1322-1|9-50-579-4|9-52-585-5|5-31-1326-1|5-31-1323-1|8-45-563-6|9-50-580-3|8-45-563-4|8-44-688-2,8-47-1321-1
20,1,1,1,1,1,8-48-697-2|2-22-1374-2|11-67-1115-2|2-21-556-1|2-21-556-2|11-67-1120-2|2-21-556-3|2-21-556-4|2-21-556-5|10-58-559-4|10-58-560-2|10-58-559-5|2-21-556-6|2-21-561-2|10-58-560-4,8-48-697-2
21,0,0,0,0,0,8-45-563-6|10-64-568-5|8-45-563-4|10-64-568-1|2-21-564-7|10-64-568-4|10-64-568-3|10-64-568-2|3-25-567-3|10-58-559-6|8-45-563-3|10-58-559-5|7-43-574-3|2-21-561-4|8-45-563-1,8-47-817-1
22,0,0,0,0,0,7-41-590-2|7-41-569-7|7-43-574-3|7-39-570-1|7-41-590-1|2-21-556-6|7-41-575-1|7-41-571-1|7-43-573-3|7-41-572-3|7-41-569-4|7-41-575-3|7-43-574-1|8-47-1254-1|2-21-556-5,8-47-1259-1
23,0,1,1,1,1,8-47-1770-1|8-47-1776-1|10-57-566-1|8-45-563-3|8-47-816-2|2-21-564-3|10-58-559-3|2-21-564-7|10-57-565-7|10-58-559-2|8-47-1780-1|10-57-565-1|8-47-1768-3|8-47-1781-2|8-47-1769-1,8-47-1776-1
24,1,1,1,1,1,8-46-827-1|10-58-560-5|8-45-563-5|10-58-559-5|8-46-827-3|10-58-559-6|2-21-561-1|10-58-560-2|8-45-563-1|2-21-556-5|2-21-557-3|10-58-559-1|2-21-561-2|10-58-560-3|10-58-559-4,8-46-827-1
25,0,1,1,1,1,8-47-1254-1|7-43-574-3|8-47-1252-1|7-41-590-2|7-43-573-3|7-39-570-1|7-43-574-2|2-21-556-6|7-43-574-1|7-41-575-3|8-47-1259-1|7-41-575-2|7-41-569-7|7-41-569-4|8-47-1258-1,8-47-1252-1
26,1,1,1,1,1,8-47-1264-1|8-47-1262-1|8-47-1638-1|8-47-1264-3|8-47-1265-1|8-47-1264-4|8-47-1263-1|8-47-1264-2|2-21-556-6|8-45-563-6|8-47-1265-3|8-47-1262-2|8-47-1266-1|10-58-559-6|2-21-556-4,8-47-1264-1
27,0,0,1,1,1,7-41-569-1|7-41-571-2|7-43-574-3|7-43-574-2|8-47-699-1|7-41-569-5|7-41-590-1|8-45-563-4|7-41-571-1|7-43-573-2|7-41-569-6|8-47-699-2|10-58-559-5|2-21-556-3|7-39-570-3,8-47-699-1
