question_id,r@1,r@3,r@5,r@10,r@15,contexts,ground_truth
1,0,0,0,0,0,7-41-590-1|7-41-590-2|5-31-591-1|5-31-591-3|5-31-591-2|9-50-580-2|9-51-582-1|7-41-569-7|9-50-580-3|9-50-580-1|9-52-585-3|9-52-366-1|9-51-364-1|9-51-582-2|9-52-585-1,8-47-1776-2
2,0,0,0,0,0,7-41-590-1|1-87-1085-1|2-21-558-1|5-31-591-1|7-41-590-2|9-50-580-3|5-31-591-3|10-58-560-2|2-21-564-3|9-50-580-2|10-58-560-1|9-52-585-3|9-50-580-1|5-31-591-2|10-58-560-6,8-47-817-2
3,0,0,0,0,0,2-21-558-1|7-41-590-1|10-58-559-5|1-87-1085-1|10-58-560-2|8-47-1342-1|10-58-560-1|10-58-559-3|1-87-1481-2|2-21-557-2|8-47-1348-3|7-41-569-3|10-58-560-4|10-58-559-2|10-58-560-6,8-44-927-3
4,0,0,0,0,0,7-41-590-1|10-58-560-2|2-21-558-1|10-58-560-1|10-58-559-3|10-58-559-5|9-50-580-3|10-58-560-6|9-52-585-3|2-21-557-2|2-21-564-4|10-58-560-4|2-21-564-3|7-41-575-2|10-58-559-2,8-47-1320-2
5,0,0,0,0,0,7-41-590-1|2-21-564-3|10-58-560-2|10-58-560-1|2-21-558-1|10-58-560-6|10-58-560-4|2-21-564-7|10-58-560-3|10-58-559-5|2-21-557-2|2-21-556-2|10-58-559-3|2-21-564-4|7-41-569-3,8-48-1350-2
6,0,0,0,0,0,2-21-564-5|10-58-560-3|2-21-564-7|2-21-564-4|2-21-564-6|2-21-564-3|10-58-560-2|3-25-567-3|2-21-564-1|2-21-564-2|10-57-565-1|5-31-591-3|7-41-575-2|10-58-559-5|7-41-590-2,8-48-686-1
7,0,0,0,0,0,7-41-590-1|2-21-564-1|2-21-564-3|2-21-564-4|10-58-560-2|7-41-590-2|10-58-560-1|2-21-564-5|1-87-1085-1|2-21-564-6|5-31-591-1|2-21-558-1|2-21-564-7|7-41-569-3|9-50-580-3,8-47-1264-3
8,0,0,0,0,0,7-41-590-1|1-87-1085-1|2-21-564-3|10-58-560-2|10-58-560-1|2-21-564-5|2-21-564-4|9-50-580-3|2-21-557-2|5-31-591-1|2-21-564-1|5-31-591-3|9-50-580-2|2-21-558-1|7-41-590-2,8-47-1307-1
9,0,0,0,0,0,10-58-560-2|10-58-559-5|7-41-590-1|10-58-560-1|10-58-559-3|2-21-558-1|10-58-560-6|10-58-559-2|1-87-1085-1|2-21-557-2|10-58-560-4|9-50-580-3|10-58-560-3|2-21-556-2|10-58-559-7,8-44-929-1
10,0,0,0,0,0,7-41-590-1|2-21-558-1|2-21-564-4|2-21-564-3|2-21-564-5|10-58-560-2|9-50-580-3|10-58-560-1|2-21-564-6|2-21-564-1|9-52-585-3|9-50-580-1|2-21-564-7|10-58-559-5|8-45-563-1,8-48-691-2
11,0,0,0,0,0,6-38-589-5|10-58-560-2|3-25-567-1|2-21-558-1|6-38-588-12|10-58-560-3|10-58-560-6|6-38-589-4|10-57-565-7|2-22-700-4|10-57-565-1|9-50-580-3|6-38-589-6|3-25-567-3|6-38-588-9,8-48-829-2
12,0,0,0,0,0,1-87-1085-1|10-58-559-3|10-58-560-2|10-58-560-6|10-58-559-5|10-58-560-1|10-58-559-2|2-21-558-1|2-21-557-2|4-97-1481-2|10-58-560-4|1-87-1481-2|1-87-1481-3|2-21-556-2|10-58-559-7,8-44-927-2
13,0,0,0,0,0,2-21-558-1|7-41-590-1|9-52-585-3|9-52-585-2|8-47-1342-1|2-21-557-2|7-41-575-2|10-58-560-2|2-21-557-3|9-52-585-1|10-58-559-5|8-47-1348-1|2-21-556-2|6-38-589-5|7-41-569-3,8-48-1562-2
14,0,1,1,1,1,8-47-1263-2|8-47-1638-1|8-47-1263-3|8-47-1262-2|8-47-1262-3|8-47-1264-4|8-47-1265-2|8-47-1264-2|10-58-560-2|8-47-1264-3|8-47-1265-3|7-41-590-1|10-58-560-3|8-47-1348-3|2-21-558-1,8-47-1263-3
